hair_loss,itching,oily_scalp,dryness,redness,dandruff,scaling,thinning,disease
1,0,0,0,0,0,0,1,androgenetic_alopecia
1,0,0,0,0,0,0,1,androgenetic_alopecia
1,1,0,0,0,0,0,1,androgenetic_alopecia
1,0,0,1,0,0,0,1,androgenetic_alopecia
1,0,0,0,0,0,0,1,androgenetic_alopecia
1,0,0,0,0,0,0,0,androgenetic_alopecia

1,1,0,1,0,0,0,1,diffuse_alopecia
1,0,0,1,0,0,0,1,diffuse_alopecia
1,1,0,1,0,0,0,1,diffuse_alopecia
1,0,0,1,0,0,0,0,diffuse_alopecia
1,1,0,1,0,0,0,1,diffuse_alopecia
1,0,0,1,0,0,0,1,diffuse_alopecia

0,1,1,0,1,1,1,0,seborrheic_dermatitis
0,1,1,0,1,1,1,0,seborrheic_dermatitis
0,1,1,0,1,1,0,0,seborrheic_dermatitis
0,1,1,0,1,1,1,0,seborrheic_dermatitis
0,1,1,0,0,1,1,0,seborrheic_dermatitis
0,1,1,0,1,1,1,0,seborrheic_dermatitis

0,1,1,0,0,1,1,0,dandruff
0,1,1,0,0,1,1,0,dandruff
0,1,1,0,0,1,0,0,dandruff
0,1,1,0,0,1,1,0,dandruff
0,1,1,0,0,1,1,0,dandruff
0,1,0,0,0,1,1,0,dandruff

0,1,0,1,1,0,1,0,psoriasis
0,1,0,1,1,1,1,0,psoriasis
0,1,0,1,1,0,1,0,psoriasis
0,1,0,1,1,0,1,0,psoriasis
0,1,0,1,1,1,1,0,psoriasis
0,1,0,1,1,0,0,0,psoriasis

0,0,0,1,0,0,1,0,dry_scalp
0,0,0,1,0,0,1,0,dry_scalp
0,1,0,1,0,0,1,0,dry_scalp
0,0,0,1,0,0,0,0,dry_scalp
0,0,0,1,0,0,1,0,dry_scalp
0,0,0,1,0,0,1,0,dry_scalp

0,1,1,0,0,0,0,0,oily_seborrhea
0,1,1,0,0,0,0,0,oily_seborrhea
0,1,1,0,0,0,0,0,oily_seborrhea
0,1,1,0,0,0,1,0,oily_seborrhea
0,1,1,0,0,0,0,0,oily_seborrhea
0,1,1,0,0,0,0,0,oily_seborrhea

0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,0,0,0,healthy
0,0,0,0,0,0,0,0,healthy
